group,start,end,years,cagr,total_return,mdd_full,mdd_1y,mdd_3y,mdd_5y,return_1y,return_3y,return_5y,days_to_recover_initial
all_month_ends,2000-01-31,2026-06-17,26.376454483230663,0.09744135791940578,10.617592128540114,-0.10018090045772654,-0.08326085244741266,-0.08326085244741266,-0.08326085244741266,0.10014699243854164,0.15878352979346122,0.3001299074941839,1
strategy_ath_month_ends,2000-01-31,2026-06-17,26.376454483230663,0.09744135791940578,10.617592128540114,-0.10018090045772654,-0.08326085244741266,-0.08326085244741266,-0.08326085244741266,0.10014699243854164,0.15878352979346122,0.3001299074941839,1
stock_basket_ath_month_ends,2000-01-31,2026-06-17,26.376454483230663,0.09744135791940578,10.617592128540114,-0.10018090045772654,-0.08326085244741266,-0.08326085244741266,-0.08326085244741266,0.10014699243854164,0.15878352979346122,0.3001299074941839,1
all_month_ends,2000-02-29,2026-06-17,26.297056810403834,0.09683138387413592,10.364763509275063,-0.10018090045772654,-0.08326085244741277,-0.08326085244741277,-0.08326085244741277,0.06534878083071982,0.1494908683628433,0.2948136678219757,1
strategy_ath_month_ends,2000-02-29,2026-06-17,26.297056810403834,0.09683138387413592,10.364763509275063,-0.10018090045772654,-0.08326085244741277,-0.08326085244741277,-0.08326085244741277,0.06534878083071982,0.1494908683628433,0.2948136678219757,1
stock_basket_ath_month_ends,2000-02-29,2026-06-17,26.297056810403834,0.09683138387413592,10.364763509275063,-0.10018090045772654,-0.08326085244741277,-0.08326085244741277,-0.08326085244741277,0.06534878083071982,0.1494908683628433,0.2948136678219757,1
all_month_ends,2000-03-31,2026-06-17,26.21218343600274,0.09692874854713018,10.302228454877593,-0.10018090045772665,-0.06734642078993991,-0.06734642078993991,-0.06734642078993991,0.05030372386435955,0.16233350639389887,0.2789469897667105,105
strategy_ath_month_ends,2000-03-31,2026-06-17,26.21218343600274,0.09692874854713018,10.302228454877593,-0.10018090045772665,-0.06734642078993991,-0.06734642078993991,-0.06734642078993991,0.05030372386435955,0.16233350639389887,0.2789469897667105,105
stock_basket_ath_month_ends,2000-03-31,2026-06-17,26.21218343600274,0.09692874854713018,10.302228454877593,-0.10018090045772665,-0.06734642078993991,-0.06734642078993991,-0.06734642078993991,0.05030372386435955,0.16233350639389887,0.2789469897667105,105
all_month_ends,2000-04-28,2026-06-17,26.135523613963038,0.09883404433998999,10.74308035537772,-0.10018090045772687,-0.041996695694598074,-0.046764012889932594,-0.046764012889932594,0.08850208085105349,0.21336508499755324,0.32271500228623884,3
all_month_ends,2000-05-31,2026-06-17,26.04517453798768,0.09968089757458154,10.8794931198957,-0.10018090045772687,-0.04199669569459752,-0.04676401288993248,-0.04676401288993248,0.10596588091965908,0.2730263033575582,0.36418255292049784,1
all_month_ends,2000-06-30,2026-06-17,25.963039014373717,0.09873812244579194,10.527563846634443,-0.10018090045772687,-0.04199669569459796,-0.046764012889932705,-0.046764012889932705,0.09191774518006546,0.23267977709763787,0.33279499310427973,3
all_month_ends,2000-07-31,2026-06-17,25.87816563997262,0.09907370620441469,10.526535564742492,-0.10018090045772665,-0.04199669569459785,-0.046764012889932594,-0.046764012889932594,0.08132097820106288,0.20998404345070942,0.34901739306392066,2
all_month_ends,2000-08-31,2026-06-17,25.793292265571527,0.09836141995270764,10.244875566944811,-0.10018090045772676,-0.04199669569459763,-0.04676401288993237,-0.04676401288993237,0.0656375690119595,0.21082781769493764,0.3111530333568897,1
strategy_ath_month_ends,2000-08-31,2026-06-17,25.793292265571527,0.09836141995270764,10.244875566944811,-0.10018090045772676,-0.04199669569459763,-0.04676401288993237,-0.04676401288993237,0.0656375690119595,0.21082781769493764,0.3111530333568897,1
all_month_ends,2000-09-29,2026-06-17,25.713894592744694,0.09970161633489738,10.516950128677472,-0.10018090045772665,-0.04199669569459774,-0.046764012889932705,-0.046764012889932705,0.09585256452466728,0.22355094930896846,0.38401158657384515,3
all_month_ends,2000-10-31,2026-06-17,25.626283367556468,0.09940527104623298,10.342840517231089,-0.10018090045772665,-0.04199669569459763,-0.046764012889932705,-0.046764012889932705,0.05521913075033669,0.23478947931758665,0.3443905936508924,1
all_month_ends,2000-11-30,2026-06-17,25.544147843942504,0.09826284067529412,9.959922447526287,-0.10018090045772687,-0.04199669569459796,-0.04676401288993237,-0.04676401288993237,0.036709307453127504,0.20316868186816728,0.3501547335518964,1
strategy_ath_month_ends,2000-11-30,2026-06-17,25.544147843942504,0.09826284067529412,9.959922447526287,-0.10018090045772687,-0.04199669569459796,-0.04676401288993237,-0.04676401288993237,0.036709307453127504,0.20316868186816728,0.3501547335518964,1
all_month_ends,2000-12-29,2026-06-17,25.464750171115675,0.09780601195193439,9.764017659588612,-0.10018090045772665,-0.04199669569459796,-0.04676401288993226,-0.04676401288993226,0.038478889755317214,0.18138768631537694,0.3331567239511779,3
strategy_ath_month_ends,2000-12-29,2026-06-17,25.464750171115675,0.09780601195193439,9.764017659588612,-0.10018090045772665,-0.04199669569459796,-0.04676401288993226,-0.04676401288993226,0.038478889755317214,0.18138768631537694,0.3331567239511779,3
all_month_ends,2001-01-31,2026-06-17,25.374401095140314,0.09734312261426603,9.560036257326864,-0.10018090045772687,-0.04199669569459774,-0.046764012889932705,-0.046764012889932705,0.03517545574524994,0.1716848465199836,0.31426015239465976,7
strategy_ath_month_ends,2001-01-31,2026-06-17,25.374401095140314,0.09734312261426603,9.560036257326864,-0.10018090045772687,-0.04199669569459774,-0.046764012889932705,-0.046764012889932705,0.03517545574524994,0.1716848465199836,0.31426015239465976,7
