peak,trough,recovery,days,max_drawdown,recovered
2007-06-04,2007-06-12,2007-06-18,14,-0.014122202099046688,True
2007-06-19,2007-06-26,2007-07-04,15,-0.017029312587082956,True
2007-07-09,2007-07-11,2007-07-12,3,-0.0005410438356221459,True
2007-07-13,2007-07-16,2007-07-19,6,-0.0012387984267394625,True
2007-07-23,2007-08-17,2007-09-04,43,-0.035355971125503594,True
2007-09-04,2007-09-05,2007-09-06,2,-0.000762474282172354,True
2007-09-06,2007-09-13,2007-09-18,12,-0.006698192413984727,True
2007-09-19,2007-09-20,2007-09-21,2,-0.0038321847399221953,True
2007-10-02,2007-10-04,2007-10-05,3,-4.9303419129342885e-05,True
2007-10-10,2007-10-11,2007-10-12,2,-0.002292660308201855,True
2007-10-15,2007-10-16,2007-10-18,3,-0.0034430948649467608,True
2007-10-18,2007-10-22,2007-10-26,8,-0.012438842818187856,True
2007-10-29,2007-10-30,2007-11-01,3,-0.0031228285915192444,True
2007-11-02,2007-11-05,2007-11-06,4,-0.0021587849036857065,True
2007-11-06,2007-11-12,2007-12-28,52,-0.03667574640683968,True
2008-01-03,2008-02-05,2008-03-03,60,-0.021400460478111283,True
2008-03-03,2008-03-04,2008-03-12,9,-0.00592614714093509,True
2008-03-14,2008-03-17,2008-03-18,4,-0.003910819124061549,True
2008-03-18,2008-04-01,2008-05-05,48,-0.027345570262832686,True
2008-05-07,2008-05-08,2008-05-09,2,-0.00037927860476805186,True
2008-05-12,2008-05-13,2008-05-15,3,-0.004901614915258201,True
2008-05-20,2008-07-23,2008-09-29,132,-0.0534074669876522,True
2008-09-29,2008-09-30,2008-10-01,2,-0.0045294540249680715,True
2008-10-01,2008-10-03,2008-10-06,5,-0.010132680006108785,True
2008-10-08,2008-11-03,2008-11-25,48,-0.10018090045772698,True
2008-11-25,2008-12-01,2008-12-04,9,-0.018050953605479036,True
2008-12-04,2008-12-11,2008-12-16,12,-0.015007150918620038,True
2008-12-16,2008-12-18,2008-12-25,9,-0.012059975474832285,True
2008-12-25,2009-02-09,2009-02-17,54,-0.025067768021696968,True
2009-02-20,2009-02-26,2009-03-02,10,-0.01102880574366305,True
2009-03-02,2009-03-04,2009-03-05,3,-0.009162344057864868,True
2009-03-05,2009-05-11,2010-03-18,378,-0.08081258241265565,True
2010-03-18,2010-03-24,2010-04-05,18,-0.007695157632725991,True
2010-04-09,2010-04-13,2010-04-15,6,-0.006292063097393941,True
2010-04-15,2010-04-19,2010-04-23,8,-0.005949971431458034,True
2010-04-26,2010-04-28,2010-04-29,3,-0.003274058871548635,True
2010-04-29,2010-04-30,2010-05-03,4,-0.0035343413211751384,True
2010-05-03,2010-05-18,2010-05-24,21,-0.020881887998845494,True
2010-05-25,2010-05-28,2010-05-31,6,-0.008955192977875392,True
2010-06-01,2010-06-04,2010-06-07,6,-0.004497084596008838,True
2010-06-08,2010-06-10,2010-06-11,3,-0.009180399175145681,True
2010-06-11,2010-07-13,2010-08-19,69,-0.027481091743137176,True
2010-08-20,2010-08-23,2010-08-24,4,-0.0036076331378991355,True
2010-08-24,2010-08-27,2010-08-30,6,-0.0020048083423784835,True
2010-08-31,2010-09-06,2010-09-14,14,-0.010904489627243441,True
2010-09-14,2010-09-15,2010-09-20,6,-0.002809467470282323,True
2010-09-28,2010-09-29,2010-09-30,2,-0.0002329615253796602,True
2010-09-30,2010-10-04,2010-10-05,5,-0.006134211788118016,True
2010-10-05,2010-10-11,2010-10-18,13,-0.012759623117282959,True
2010-10-18,2010-11-15,2010-11-24,37,-0.01563099054299366,True
2010-11-25,2010-11-26,2010-11-29,4,-0.0020865304763405534,True
2010-11-29,2010-11-30,2010-12-01,2,-1.7514615333058536e-05,True
2010-12-01,2010-12-02,2010-12-03,2,-0.0010053780606984475,True
2010-12-03,2010-12-15,2010-12-21,18,-0.011632915810628641,True
2010-12-22,2011-01-21,2011-04-20,119,-0.029301781682692596,True
2011-04-21,2011-04-22,2011-04-25,4,-9.180246231588196e-05,True
2011-04-27,2011-05-19,2011-05-31,34,-0.010564272161373789,True
2011-05-31,2011-06-20,2011-07-19,49,-0.01819109354199544,True
2011-07-20,2011-07-21,2011-07-22,2,-0.0023711608079217683,True
2011-07-22,2011-07-28,2011-08-02,11,-0.0027059863881588875,True
2011-08-03,2011-08-05,2011-08-10,7,-0.006498005052685385,True
2011-08-10,2011-08-11,2011-08-16,6,-0.00672091560664978,True
2011-08-22,2011-08-24,2011-08-30,8,-0.012725690610750795,True
2011-08-30,2011-08-31,2011-09-02,3,-0.0032000690546821753,True
2011-09-06,2011-09-07,2011-09-14,8,-0.012600452486070668,True
2011-09-14,2011-09-15,2011-09-19,5,-0.003324952309231466,True
2011-09-22,2011-10-27,2012-02-17,148,-0.04043868571009046,True
2012-02-17,2012-02-20,2012-02-21,4,-0.003666212134583846,True
2012-02-24,2012-02-27,2012-02-28,4,-0.0021091195302236354,True
2012-02-28,2012-03-20,2012-05-30,92,-0.01864628735597529,True
2012-06-01,2012-06-29,2012-07-12,41,-0.011357854638977871,True
2012-07-23,2012-07-24,2012-07-25,2,-0.0005236893986696467,True
2012-07-25,2012-08-01,2012-08-10,16,-0.006779289017551426,True
2012-08-10,2012-08-16,2012-08-22,12,-0.00747619405251021,True
2012-08-22,2012-08-23,2012-08-24,2,-0.00021868901562405174,True
2012-08-29,2012-08-30,2012-08-31,2,-0.002053405290941668,True
2012-08-31,2012-09-05,2012-09-06,6,-0.0006330312191039633,True
2012-09-07,2012-09-12,2012-09-13,6,-0.004187047942213806,True
2012-09-13,2012-09-17,2012-09-20,7,-0.003735425927658631,True
