group,name,start,end,years,final_nav,total_return,cagr,daily_mdd,monthly_mdd,avg_risk_asset_weight,max_risk_asset_weight,avg_stock_weight
baseline,HaenamP baseline,2000-01-03,2026-06-17,26.45311430527036,1135.1894836016866,10.351894836016866,0.09618654428997053,-0.10018104276950801,-0.0557778619163445,0.6178276417850308,0.9666666666666668,0.26146368489976834
start_year,start 2000,2000-01-03,2026-06-17,26.45311430527036,1135.1894836016866,10.351894836016866,0.09618654428997053,-0.10018104276950801,-0.0557778619163445,0.6178276417850308,0.9666666666666668,0.26146368489976834
start_year,start 2003,2003-01-01,2026-06-17,23.457905544147845,1013.5319508971487,9.135319508971486,0.10376952599462697,-0.10018104276950812,-0.05577786191634456,0.6346612976924834,0.9666666666666668,0.27711617546264566
start_year,start 2007,2007-01-02,2026-06-17,19.45516769336071,780.4944366069404,6.804944366069404,0.11139390119079295,-0.10018104276950768,-0.05577786191634459,0.6493584408378417,0.9666666666666668,0.2823415175475101
start_year,start 2010,2010-01-04,2026-06-17,16.449007529089666,559.7032037515866,4.5970320375158655,0.11037916011430138,-0.08521153655000424,-0.05577786191634465,0.6468024691358025,0.9666666666666668,0.2883580246913581
start_year,start 2013,2013-01-02,2026-06-17,13.453798767967145,438.6984594333214,3.3869845943332137,0.11617222461728649,-0.08521153655000402,-0.0557778619163444,0.6241093954990413,0.9666666666666668,0.2856443637097588
start_year,start 2016,2016-01-04,2026-06-17,10.45037645448323,371.984607501145,2.71984607501145,0.13394952688656292,-0.08521153655000413,-0.05577786191634466,0.6377487319547406,0.9666666666666668,0.28594745740668487
start_year,start 2020,2020-01-02,2026-06-17,6.455852156057495,281.35766628354907,1.8135766628354908,0.17378723072381197,-0.08521153655000424,-0.05577786191634438,0.6370159932659932,0.9666666666666668,0.2853640572390572
cap,cap 15%,2000-01-03,2026-06-17,26.45311430527036,767.2564943842033,6.6725649438420325,0.08007315431970063,-0.075875409091124,-0.041238158342020305,0.463370731338773,0.725,0.1960977636748262
cap,cap 20%,2000-01-03,2026-06-17,26.45311430527036,1135.1894836016866,10.351894836016866,0.09618654428997053,-0.10018104276950801,-0.0557778619163445,0.6178276417850308,0.9666666666666668,0.26146368489976834
cap,cap 25%,2000-01-03,2026-06-17,26.45311430527036,1641.4007136086484,15.414007136086482,0.11157413562088037,-0.12343642212448258,-0.0708497955615117,0.7619906567946005,1.0,0.3227486985795237
lookback,6M momentum,2000-01-03,2026-06-17,26.45311430527036,1022.1059593759453,9.221059593759453,0.0918467962072127,-0.09986956629387556,-0.0694841747937343,0.5972751082905209,0.9666666666666668,0.25204996474262115
lookback,9M momentum,2000-01-03,2026-06-17,26.45311430527036,1101.8977141590283,10.018977141590282,0.09495378192621584,-0.102608353735675,-0.05452907088002285,0.6073973338705886,0.9777777777777779,0.25598871763876296
lookback,12M momentum,2000-01-03,2026-06-17,26.45311430527036,1135.1894836016866,10.351894836016866,0.09618654428997053,-0.10018104276950801,-0.0557778619163445,0.6178276417850308,0.9666666666666668,0.26146368489976834
rebalance_timing,month_start,2000-01-03,2026-06-17,26.45311430527036,1035.4880816949901,9.354880816949901,0.0923838194690707,-0.10365102045708319,-0.05544628217077397,0.6086028004432357,0.9500000000000001,0.2580084617709278
rebalance_timing,month_mid,2000-01-03,2026-06-17,26.45311430527036,1105.5125033537354,10.055125033537355,0.09508935585306033,-0.09784247557348624,-0.0558043850526151,0.6134456532688628,1.0,0.2622015714717438
rebalance_timing,month_end,2000-01-03,2026-06-17,26.45311430527036,1135.1894836016866,10.351894836016866,0.09618654428997053,-0.10018104276950801,-0.0557778619163445,0.6178276417850308,0.9666666666666668,0.26146368489976834
ablation,without 코스피200,2000-01-03,2026-06-17,26.45311430527036,727.4805652254652,6.274805652254653,0.0779018158716469,-0.1001810427695079,-0.06750141053321333,0.4981187669990934,0.8,0.14175481011383098
ablation,without 미국나스닥100,2000-01-03,2026-06-17,26.45311430527036,686.6784855583601,5.8667848555836,0.07555238183562052,-0.09469401798467714,-0.06106211252468514,0.4760728316711998,0.7833333333333334,0.11970887478593736
ablation,without 한국채30년,2000-01-03,2026-06-17,26.45311430527036,919.3506573569537,8.193506573569536,0.08748236144030419,-0.10325182164297442,-0.06439900288475704,0.49250528860682996,0.8,0.26146368489976834
ablation,without 미국채30년,2000-01-03,2026-06-17,26.45311430527036,1048.2348309003305,9.482348309003305,0.09288917121786788,-0.09068453678361343,-0.060070078967692925,0.5082552634229879,0.7833333333333334,0.26146368489976834
ablation,without 금현물,2000-01-03,2026-06-17,26.45311430527036,787.2126426670383,6.872126426670382,0.08112205805812045,-0.08343771049861082,-0.061712185185016734,0.4963584164400121,0.8,0.26146368489976834
