date,baseline:HaenamP baseline,cap:cap 15%,cap:cap 20%,cap:cap 25%,lookback:6M momentum,lookback:9M momentum,lookback:12M momentum,rebalance_timing:month_start,rebalance_timing:month_mid,rebalance_timing:month_end
2000-01-03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2000-01-04,99.10062065087871,99.33022161001661,99.10062065087871,98.8710196917408,99.0501907140394,99.08381067193227,99.10062065087871,99.10062065087871,99.10062065087871,99.10062065087871
2000-01-05,97.51127024777934,98.14297222639416,97.51127024777934,96.87956826916451,97.54639859316757,97.52297969624206,97.51127024777934,97.51127024777934,97.51127024777934,97.51127024777934
2000-01-06,95.9628702355744,96.9864493280609,95.9628702355744,94.9392911430879,96.01666705284964,95.98080250799947,95.9628702355744,95.9628702355744,95.9628702355744,95.9628702355744
2000-01-07,97.73607467050905,98.32113707023778,97.73607467050905,97.15101227078034,97.80560605545254,97.75925179882356,97.73607467050905,97.73607467050905,97.73607467050905,97.73607467050905
2000-01-10,98.88542811471184,99.19751089263045,98.88542811471184,98.57334533679324,98.8646277072261,98.87849464554992,98.88542811471184,98.88542811471184,98.88542811471184,98.88542811471184
2000-01-11,98.02783071372696,98.55908812360418,98.02783071372696,97.49657330384971,97.98514316173072,98.0136015297282,98.02783071372696,98.02783071372696,98.02783071372696,98.02783071372696
2000-01-12,97.07815570232356,97.85160805767822,97.07815570232356,96.30470334696888,97.04247185217925,97.06626108560877,97.07815570232356,97.07815570232356,97.07815570232356,97.07815570232356
2000-01-13,97.93662687797396,98.50023854313058,97.93662687797396,97.37301521281735,97.86765626179874,97.91363667258221,97.93662687797396,97.93662687797396,97.93662687797396,97.93662687797396
2000-01-14,98.1540622010747,98.66808664801606,98.1540622010747,97.64003775413335,98.08177841177576,98.1299676046417,98.1540622010747,98.1540622010747,98.1540622010747,98.1540622010747
2000-01-17,98.79024644639128,99.15950668254281,98.79024644639128,98.42098621023976,98.63431418429553,98.73826902569269,98.79024644639128,98.79024644639128,98.79024644639128,98.79024644639128
2000-01-18,98.89851212901718,99.24545555165818,98.89851212901718,98.55156870637617,98.73289213120772,98.84330546308067,98.89851212901718,98.89851212901718,98.91408839791652,98.89851212901718
2000-01-19,98.74424541294499,99.13449319813307,98.74424541294499,98.35399762775694,98.67073267793691,98.71974116794232,98.74424541294499,98.74424541294499,98.7869082648372,98.74424541294499
2000-01-20,98.64601562198654,99.06553377457053,98.64601562198654,98.22649746940256,98.66571008655794,98.65258044351033,98.64601562198654,98.64601562198654,98.57488921633242,98.64601562198654
2000-01-21,98.58355847549181,99.02337262672377,98.58355847549181,98.14374432425987,98.64680055423304,98.60463916840555,98.58355847549181,98.58355847549181,98.52697984279872,98.58355847549181
2000-01-24,97.60981997315037,98.30711913012232,97.60981997315037,96.91252081617839,97.67055501673381,97.63006498767817,97.60981997315037,97.60981997315037,97.54742718396986,97.60981997315037
2000-01-25,97.31608496150093,98.0915030800079,97.31608496150093,96.54066684299394,97.43057637742321,97.35424876680835,97.31608496150093,97.31608496150093,97.29838680927838,97.31608496150093
2000-01-26,96.41725231480802,97.42206467816847,96.41725231480802,95.4124399514476,96.50966037865662,96.44805500275756,96.41725231480802,96.41725231480802,96.43348980634477,96.41725231480802
2000-01-27,97.14579433290679,97.97315814964358,97.14579433290679,96.31843051617,97.26508662756531,97.18555843112628,97.14579433290679,97.14579433290679,97.07260352385588,97.14579433290679
2000-01-28,96.81093389194231,97.72670065170536,96.81093389194231,95.89516713217927,96.97789957331369,96.8665891190661,96.81093389194231,96.81093389194231,96.59739760522851,96.81093389194231
2000-01-31,97.71292774192707,98.4172647884871,97.71292774192707,97.00859069536706,97.88123503878111,97.76903017421175,97.71292774192707,97.71292774192707,97.49763523687224,97.71292774192707
2000-02-01,97.97196965217418,98.61753937443247,97.97196965217418,97.32553205037915,98.12419084792919,98.022716367951,97.97196965217418,97.9794334104531,97.816652439292,97.97196965217418
