strategy,asset_count,mean_cagr,median_cagr,mean_mdd,median_mdd,mean_sharpe,median_sharpe,cagr_win_rate,mdd_improve_rate,sharpe_win_rate,avg_exposure,annual_turnover
ma4,43,0.07633147885706476,0.04730204213337319,-0.31243892727551903,-0.2837839986153142,0.5456199832219687,0.5001856698578474,0.11627906976744186,1.0,0.4883720930232558,0.6419050504310696,3.4181518173671845
ma5_stack_half,43,0.05619889380413777,0.03621703818557309,-0.23139129460895508,-0.2076307149561265,0.5028990145895809,0.4499078752613364,0.09302325581395349,0.9767441860465116,0.4418604651162791,0.4430925528344262,3.2057620174514967
ma4_stack_half,43,0.06278853094785439,0.04376638429323543,-0.244873336581563,-0.21601948770628965,0.5331898548685895,0.5121385691596669,0.11627906976744186,0.9767441860465116,0.4186046511627907,0.4998183450665958,2.8186850547310915
ma5,43,0.07249606665752646,0.04424280733074526,-0.31835866364169263,-0.2919328564243081,0.5243450495739078,0.47982340218649683,0.09302325581395349,0.9767441860465116,0.37209302325581395,0.6264181567879514,3.7377581166775107
ma4_stack_hard,43,0.04742542504992361,0.035926954818786605,-0.2343913470849113,-0.20617088566968667,0.45523340389170147,0.4488614126828907,0.11627906976744186,0.9767441860465116,0.2558139534883721,0.3577316397021218,2.5612999280688933
ma4_52w_near5,43,0.04797005871612509,0.03629205631780952,-0.2520675382309542,-0.24402005575133578,0.4456091486818362,0.4130765039753792,0.11627906976744186,0.9767441860465116,0.2558139534883721,0.43393763089085047,2.8811575130597897
ma5_52w_near5,43,0.04472862351176942,0.03336329623314116,-0.24632568725189755,-0.22862843197891447,0.42764513061016324,0.39670475147065953,0.09302325581395349,0.9767441860465116,0.23255813953488372,0.41198720334854555,3.0186044335300304
ma5_stack_hard,43,0.037050601375835025,0.023815833613636928,-0.20915433649610668,-0.19409405250630385,0.37822322851574697,0.337500436620314,0.06976744186046512,0.9767441860465116,0.18604651162790697,0.2597669488809009,2.9301702904705276
ma4_52w_high,43,0.010122217354011746,0.003708145246430039,-0.16395632283320813,-0.1678490479974618,0.15645387817348563,0.10861840734027692,0.046511627906976744,1.0,0.09302325581395349,0.0710161461377011,1.4068855515895293
ma5_52w_high,43,0.010122217354011746,0.003708145246430039,-0.16395632283320813,-0.1678490479974618,0.15645387817348563,0.10861840734027692,0.046511627906976744,1.0,0.09302325581395349,0.0710161461377011,1.4068855515895293
