Date,core__ma5,core__ma4,core__ma5_52w_high,core__ma4_52w_high,core__ma5_52w_near5,core__ma4_52w_near5,core__ma5_stack_hard,core__ma4_stack_hard,core__ma5_stack_half,core__ma4_stack_half,korea__ma5,korea__ma4,korea__ma5_52w_high,korea__ma4_52w_high,korea__ma5_52w_near5,korea__ma4_52w_near5,korea__ma5_stack_hard,korea__ma4_stack_hard,korea__ma5_stack_half,korea__ma4_stack_half,extended__ma5,extended__ma4,extended__ma5_52w_high,extended__ma4_52w_high,extended__ma5_52w_near5,extended__ma4_52w_near5,extended__ma5_stack_hard,extended__ma4_stack_hard,extended__ma5_stack_half,extended__ma4_stack_half,all__ma5,all__ma4,all__ma5_52w_high,all__ma4_52w_high,all__ma5_52w_near5,all__ma4_52w_near5,all__ma5_stack_hard,all__ma4_stack_hard,all__ma5_stack_half,all__ma4_stack_half
2014-05-05,,,,,,,,,,,,,,,,,,,,,103.64264577710563,104.37820297508384,98.8162083136683,98.8162083136683,102.70768074567076,103.32692201610247,100.38154049391754,102.69257296722051,102.00775917118416,103.53610945315503,,,,,,,,,,
2014-05-06,,,,,,,,,,,,,,,,,,,,,103.18477697242814,103.91982087845939,98.75432184563182,98.75432184563182,102.32231149848086,102.94118759721911,100.08587607024846,102.3998329121581,101.63220889165893,103.1611951137391,,,,,,,,,,
2014-05-07,,,,,,,,,,,,,,,,,,,,,103.59177618936175,104.32920322665315,98.83470864589651,98.83470864589651,102.70636957477302,103.32173060104995,100.46692449350336,102.76065471599655,102.02611436874002,103.54614431168767,,,,,,,,,,
2014-05-08,,,,,,,,,,,,,,,,,,,,,103.41275180743976,104.14593818857722,98.84627201844694,98.84627201844694,102.53790010602573,103.14972080504181,100.35044121830825,102.62892601958194,101.87880952915947,103.3888317475951,,,,,,,,,,
2014-05-09,,,,,,,,,,,,,,,,,,,,,103.44625577267405,104.20396304942562,98.83291118354506,98.83291118354506,102.54751080786843,103.1847464147933,100.21309374591065,102.61460770781076,101.8255933677499,103.41042110212226,,,,,,,,,,
2014-05-12,,,,,,,,,,,,,,,,,,,,,104.10194791883734,104.89245708020508,98.92683918029024,98.92683918029024,103.1102674657224,103.7771573741251,100.5515155836809,103.09120337203588,102.32023681410767,103.99219249943314,,,,,,,,,,
2014-05-13,,,,,,,,,,,,,,,,,,,,,104.21794411547715,105.01904069840593,98.94003279427605,98.94003279427605,103.19920800375748,103.87117202272167,100.61899413111523,103.18273191300334,102.41157502576044,104.1011053292385,,,,,,,,,,
2014-05-14,,,,,,,,,,,,,,,,,,,,,103.99586152061909,104.79255633809417,98.89807722363426,98.89807722363426,103.01326387533958,103.68033115857784,100.4719936456487,103.0136780942601,102.2276486753015,103.90357372263881,,,,,,,,,,
2014-05-15,,,,,,,,,,,,,,,,,,,,,103.47009115694397,104.25891581829244,98.81103081652105,98.81103081652105,102.5505563285328,103.21172218062475,100.1203131211538,102.63866861864331,101.79032034947566,103.4498924493922,,,,,,,,,,
2014-05-16,,,,,,,,,,,,,,,,,,,,,103.75104848351815,104.57900170152301,98.86466427044174,98.86466427044174,102.79601091352217,103.49201757437103,100.18637089706797,102.87175622583796,101.96209824137901,103.7261584266641,,,,,,,,,,
