date,KOSPI200 continuous,Nasdaq100 continuous,KOSPI200/Nasdaq100 50-50 continuous,KOSPI200 4-point,Nasdaq100 4-point,KOSPI200/Nasdaq100 50-50 4-point
2000-01-03,100.0,100.0,100.0,100.0,100.0,100.0
2000-01-04,102.7629978451038,92.68573081103932,97.72436432807156,103.01244996852867,92.68573081103932,97.849090389784
2000-01-05,96.27969569296833,91.32844263514117,93.80406916405477,95.93802455939831,91.32844263514117,93.63323359726974
2000-01-06,94.00582506372314,85.9180119696263,89.96191851667473,93.45570128719613,85.9180119696263,89.68685662841122
2000-01-07,92.92497495833555,95.82891155146277,94.37694325489916,92.27485229369117,95.82891155146277,94.05188192257697
2000-01-10,96.37059083535677,98.10132321770223,97.2359570265295,96.02848461799047,98.10132321770223,97.06490391784635
2000-01-11,95.8452266818828,94.4403783248105,95.14280250334666,95.45362362085072,94.4403783248105,94.94700097283061
2000-01-12,93.50002576107914,92.15979897803851,92.82991236955883,92.89348581901886,92.15979897803851,92.52664239852868
2000-01-13,93.14852735391518,96.94641402901152,95.04747069146336,92.50829588258017,96.94641402901152,94.72735495579585
2000-01-14,92.88084678803617,98.28672371372954,95.58378525088287,92.2145455879631,98.28672371372954,95.25063465084632
2000-01-17,96.0277403403033,98.28672371372954,97.15723202701642,95.64232697205838,98.28672371372954,96.96452534289396
2000-01-18,95.87417932765065,98.98870554016551,97.43144243390809,95.47307873747516,98.98870554016551,97.23089213882034
2000-01-19,92.06400429291145,101.85826027299068,96.96113228295107,91.31480136011274,101.85826027299068,96.58653081655171
2000-01-20,92.70042138864493,100.15191356138992,96.42616747501744,92.00736076649243,100.15191356138992,96.07963716394117
2000-01-21,90.85271929656392,101.58312448782937,96.21792189219666,89.98998331621341,101.58312448782937,95.78655390202138
2000-01-24,91.00096067889687,96.40176448213681,93.70136258051686,90.14659195870222,96.40176448213681,93.27417822041951
2000-01-25,87.83274346409597,98.06602541483002,92.949384439463,86.68865128487481,98.06602541483002,92.37733834985241
2000-01-26,87.32785552004856,94.17856619516057,90.75321085760459,86.13616040657574,94.17856619516057,90.15736330086816
2000-01-27,89.44170948348021,95.32626462931037,92.3839870563953,88.44047856380989,95.32626462931037,91.88337159656012
2000-01-28,92.33574735953626,90.20192439999406,91.26883587976516,91.59590612576734,90.20192439999406,90.8989152628807
2000-01-31,92.53749099350352,94.32134420665973,93.42941760008163,91.81087418126138,94.32134420665973,93.06610919396056
2000-02-01,91.42930614549057,96.87946766336442,94.13695112781889,90.71139094956622,97.11042376354403,93.88483267627791
2000-02-02,92.52480651871568,97.95473027401489,95.2225281553202,91.79828930667378,98.28183664414519,95.01362369094215
2000-02-03,93.01662358700406,101.43112400122209,97.19256692172445,92.28624456126344,102.07266498943748,97.13112684062783
2000-02-04,93.0209443492866,102.02728416735688,97.49000948782496,92.29053139634001,102.72142006013343,97.45336025942814
2000-02-07,94.71847710178002,103.30019187232747,98.97739211854886,93.97473489358727,104.1052404309948,98.98967738979763
2000-02-08,93.84706105399957,107.28927771981334,100.51316652289685,93.1101613216939,108.45536777617343,100.69759816812662
2000-02-09,94.9418310599277,103.31207972329474,99.09603321922575,94.19633504644662,104.11500335600527,99.10680882060157
2000-02-10,94.22041988073109,106.183542407979,100.15400565502884,93.48058848475495,107.24590483429705,100.28866032073054
2000-02-11,93.2718010734441,103.38759708513257,98.29037152311491,92.53941835979533,104.19417909601084,98.30608485608842
2000-02-14,90.17071936674645,104.38465643538999,97.2187011665322,89.46268676330742,105.27710071690765,97.28094158756156
2000-02-15,87.88310295522926,105.08146750716568,96.40897924052345,87.19303302320832,106.0356644962007,96.504833784693
2000-02-16,87.8726909256073,104.45783769496353,96.09485674222566,87.18270275024184,105.35374921789032,96.1631778794817
2000-02-17,89.20198537505706,106.6866933046052,97.86979969017278,88.50155940107595,107.78363812606521,98.03039777429765
2000-02-18,89.20626986297793,103.20505374943627,96.14760443897958,88.50581024662202,103.98389785483917,96.15796572414257
2000-02-21,85.38086426289252,103.20941637913909,94.2186266581119,84.71044224527441,103.98389785483917,94.23433665517565
2000-02-22,85.73073597536563,104.02168432888871,94.79754210993211,85.05756671805383,104.86842134970071,94.8466479256183
2000-02-23,87.98869202905813,109.4666104930275,98.63412061942275,87.29779299744294,110.80675571899819,98.91172851352252
2000-02-24,87.01502658517384,112.3910027955599,99.5909647920292,86.33177290544177,113.99541649290732,99.99522769853152
2000-02-25,86.82738161254585,109.3760568941646,98.00302009033787,86.14560134635008,110.70480334825994,98.2774585355528
2000-02-28,83.47615213826987,109.14106514006146,96.19487006196124,82.82068617616368,110.44372308714141,96.46346899595295
2000-02-29,84.16936364564741,111.48162052057249,97.70402783712875,83.5084544936482,112.99548486601616,98.07095610447614
2000-03-01,84.1795647282953,112.11626623127555,97.98805468088688,83.51604523043048,113.63874874632363,98.35456387393025
2000-03-02,86.4346080841681,108.74369607054814,97.81900146030871,86.86445779238133,110.22038077879192,98.83729053123275
2000-03-03,86.45057210526947,114.87704189883134,100.51594138411257,86.88062229961659,116.4370143591221,101.54455016401084
2000-03-06,86.97229902683536,115.65805709901589,101.16099864362477,87.6342789024686,117.22863535297279,102.33062267459027
2000-03-07,86.91508332476016,113.8534434339776,100.33699643487043,87.54155166664705,115.39951594185686,101.48241003321678
2000-03-08,87.19284733989267,114.93749215702982,100.9732486662152,87.9473364521173,116.49828550142804,102.19750514797285
2000-03-09,86.16494889776092,119.21513075026076,102.2511456957321,86.41001525358685,120.83401227564116,103.17633313460357
2000-03-10,86.40442999269476,118.40088851519475,102.0333342958391,86.75883453486426,120.00871304048434,103.02301040409345
2000-03-13,85.19201288504306,115.38102071103742,100.00631887582331,84.9317356052632,116.94783695016002,100.62185629583365
2000-03-14,84.93396681978967,110.85472016477739,97.87309251286712,84.54011862219731,112.36007151864133,98.40099706374673
2000-03-15,84.63223225591759,106.21836124624159,95.66628094875173,84.08348208771577,107.6607531774969,96.09354942687476
2000-03-16,84.76742157593615,112.23414396012669,98.38090243288944,84.2770730880535,113.75822719545491,98.8532819991795
2000-03-17,85.26366018637887,114.2911558129865,99.57031676308648,85.00798413289749,115.84317223485846,100.18724892073381
2000-03-20,85.1229428892558,111.15549401474351,98.11457565493498,84.77575108507826,112.6649297262386,98.67165466203123
2000-03-21,85.5700762984159,115.22707508820575,100.15828736645867,85.43357717715523,116.79180082318557,100.84882016289926
2000-03-22,86.22449213078937,117.12619823196303,101.37032005311244,86.39988410882066,118.71671310421513,102.25156185873075
2000-03-23,85.73311884041338,118.8597868019611,101.84479677361202,85.66100131023761,120.47384293521688,102.5802193525351
2000-03-24,86.47559712265682,120.3197149936359,102.91548277389364,86.75836193652039,121.95359621757446,103.86673366921234
2000-03-27,86.42060853037586,120.88119519901481,103.12961181270936,86.65368320812533,122.52270104178854,104.05223569550176
2000-03-28,86.5859640867019,117.84380689095694,101.89457992806268,86.89215168448672,119.44406652793133,102.85625935059461
2000-03-29,87.1794290206714,112.65088173614117,99.963452220378,87.76774048595229,114.18062406090101,101.0862763871172
2000-03-30,86.56105974801929,109.64654720815382,98.28802976586452,86.83984982191305,111.13549218082576,99.21996233259355
2000-03-31,85.58876021293267,111.74465110907343,98.64310936390345,85.38523104284721,113.26208727763765,99.28867854948652
2000-04-03,84.89135859287123,105.76029128125955,95.59986256904433,84.68948783649094,107.19646285274196,96.22551524583572
2000-04-04,84.08990716647557,104.8269985330779,94.72608227222102,83.88994225314376,106.25049645836879,95.34601649956127
2000-04-05,84.0976816731185,103.10176301500411,93.9690825952558,83.89769827209182,104.50183310953591,94.5840626431496
2000-04-06,82.82253097263235,105.21619520023701,94.16752404679787,82.62557986653735,106.64497822055098,94.78380279347645
2000-04-07,84.47211798083589,109.00757695078808,96.79154836078877,84.27124417421422,110.48784502868664,97.42500001746842
2000-04-10,86.12533599391888,102.6396305048517,94.93356802809498,85.9205308522792,104.03342507229013,95.55486014461073
2000-04-11,85.38156677274355,100.1598863358275,93.41045921293008,85.178530306476,101.52000722444983,94.02178335374327
2000-04-12,84.49264561825777,94.14068233639254,90.24146755085259,84.29172299713058,95.41906546160467,90.83205224641108
2000-04-13,84.50045342060923,89.92575736445998,88.3855946010259,84.29951223261031,91.1469039281301,88.96403354817387
2000-04-14,82.71286134336127,82.44552345378946,84.05386752061386,82.51617103048926,83.56509220256898,84.60395750814872
2000-04-17,78.10523265641834,92.14890132518899,85.68151687785031,77.91949923602125,93.40023706588417,86.24225900598314
2000-04-18,80.08051175670649,94.26807162236871,87.75514897497494,79.89008114341902,95.54818463002361,88.3294619748369
2000-04-19,80.47513478257692,91.34507299173895,86.6924099467731,80.2837657598914,92.58549314789036,87.25976785799939
2000-04-20,80.78972936975373,89.3204405594191,85.98007203158326,80.59761224445424,90.53336722527494,86.54276805197162
2000-04-21,81.09140121710976,89.28016984681341,86.13613949047807,80.89856671933546,90.49254965664318,86.69985689333284
2000-04-24,80.14187931405573,86.74552517145476,84.4702313740468,79.95130276936342,87.92348578120045,85.02304625210365
2000-04-25,79.63383794679848,92.57377548672365,86.74992391980261,79.44446951912516,93.83088080487423,87.31765823085013
2000-04-26,78.4502843266337,89.37585356750871,84.65639667296676,78.26373037700007,90.58953271414865,85.2104299086077
2000-04-27,77.4064105560692,93.58383814803025,85.91216078944777,77.22233892726449,94.85465960918697,86.4744123651551
2000-04-28,79.07055156059432,97.0858779189879,88.4168630315909,78.88252262201303,98.40425531914894,88.99550661477869
2000-05-01,79.11423087396382,97.84194906449706,88.78556411537414,78.9260980664355,99.31298928641023,89.43101107922048
2000-05-02,79.1287960063982,93.15558829752332,86.65975492339506,78.9406285631384,93.6093649623573,86.86006656529541
2000-05-03,79.14336382031077,92.29772982830094,86.27727061881383,78.95516173494296,92.56232969131797,86.39480232665656
2000-05-04,79.15793431619517,92.56385978189971,86.40660030674682,78.96969758234165,92.88239569718333,86.54773375131336
2000-05-05,79.17250749454516,94.34864240053993,87.22745588273143,78.98423610582707,95.04959128082643,87.53592646179277
2000-05-08,79.21624312932764,91.22501758047267,85.82955383225736,79.02786773773079,91.239454886604,85.83762065972566
2000-05-09,79.2308270424794,89.61417963306329,85.10420639940429,79.04241697049072,89.27657013540893,84.95822440454972
2000-05-10,79.24543393982827,84.26443490540098,82.67634609567199,79.0569891327916,82.76606455843674,82.02243702923346
2000-05-11,79.26006383119757,88.67444661591641,84.6926416412831,79.07158423443333,88.1263000854121,84.45453319583152
2000-05-12,79.27469642346342,88.7099903008432,84.71700769451468,79.08618203054894,88.1658896182447,84.4806699601128
2000-05-15,79.31867135328065,91.97269520870748,86.22727947526332,79.13005238844634,92.1233571118508,86.29495791882673
2000-05-16,79.33337571362507,94.12683790509372,87.21639794095034,79.14472178197678,94.73977100621116,87.4863580018114
