date,nav,return,running_max,drawdown
2000-01-03,100.0,0.0,100.0,0.0
2000-01-04,92.68573081103932,-0.07314269188960676,100.0,-0.07314269188960676
2000-01-05,91.32844263514117,-0.014643982024215574,100.0,-0.08671557364858828
2000-01-06,85.9180119696263,-0.05924146420770182,100.0,-0.14081988030373693
2000-01-07,95.82891155146277,0.1153529900731427,100.0,-0.0417108844853723
2000-01-10,98.10132321770223,0.023713215870339033,100.0,-0.0189867678229777
2000-01-11,94.4403783248105,-0.03731799707499894,100.0,-0.05559621675189508
2000-01-12,92.15979897803851,-0.024148350390215012,100.0,-0.0784020102196149
2000-01-13,96.94641402901152,0.05193821063036008,100.0,-0.030535859709884816
2000-01-14,98.28672371372954,0.01382526314296606,100.0,-0.017132762862704598
2000-01-17,98.28672371372954,0.0,100.0,-0.017132762862704598
2000-01-18,98.98870554016551,0.007142183602340424,100.0,-0.010112944598344886
2000-01-19,101.85826027299068,0.028988708531609397,101.85826027299068,0.0
2000-01-20,100.15191356138992,-0.01675216822894454,101.85826027299068,-0.01675216822894454
2000-01-21,101.58312448782937,0.01429040020850092,101.85826027299068,-0.002701163208795432
2000-01-24,96.40176448213681,-0.05100610984173193,101.85826027299068,-0.05356949722319915
2000-01-25,98.06602541483002,0.017263801566636205,101.85826027299068,-0.03723050882664869
2000-01-26,94.17856619516057,-0.03964124377657885,101.85826027299068,-0.07539588892690419
2000-01-27,95.32626462931037,0.012186408017419659,101.85826027299068,-0.06412828597478382
2000-01-28,90.20192439999406,-0.053755806432183584,101.85826027299068,-0.11443682467927918
2000-01-31,94.32134420665973,0.045668868309265864,101.85826027299068,-0.07399415664602194
2000-02-01,96.87946766336442,0.027121363443461943,101.85826027299068,-0.0488796156176492
2000-02-02,97.95473027401489,0.01109897315277153,101.85826027299068,-0.038323156006335846
2000-02-03,101.43112400122209,0.035489799394908816,101.85826027299068,-0.0041934377302716985
2000-02-04,102.02728416735688,0.00587748752668471,102.02728416735688,0.0
2000-02-07,103.30019187232747,0.012476150035343636,103.30019187232747,0.0
2000-02-08,107.28927771981334,0.03861644180115498,107.28927771981334,0.0
2000-02-09,103.31207972329474,-0.03706985526461537,107.28927771981334,-0.03706985526461537
2000-02-10,106.183542407979,0.027794065247500832,107.28927771981334,-0.010306111993054645
