date,nav,return,running_max,drawdown
2000-01-03,100.0,0.0,100.0,0.0
2000-01-04,97.849090389784,-0.021509096102160008,100.0,-0.021509096102160008
2000-01-05,93.63323359726974,-0.04308529364678104,100.0,-0.06366766402730262
2000-01-06,89.68685662841122,-0.04214718233306414,100.0,-0.10313143371588784
2000-01-07,94.05188192257697,0.04866962070318537,100.0,-0.05948118077423037
2000-01-10,97.06490391784635,0.0320357438222203,100.0,-0.029350960821536543
2000-01-11,94.94700097283061,-0.021819451310725935,100.0,-0.050529990271693914
2000-01-12,92.52664239852868,-0.025491680089974822,100.0,-0.0747335760147132
2000-01-13,94.72735495579585,0.02378463651353857,100.0,-0.052726450442041495
2000-01-14,95.25063465084632,0.005524061083460596,100.0,-0.04749365349153678
2000-01-17,96.96452534289396,0.01799348317552041,100.0,-0.03035474657106041
2000-01-18,97.23089213882034,0.002747054089982104,100.0,-0.02769107861179665
2000-01-19,96.58653081655171,-0.006627125475189954,100.0,-0.03413469183448281
2000-01-20,96.07963716394117,-0.005248078053173844,100.0,-0.03920362836058833
2000-01-21,95.78655390202138,-0.0030504201573919865,100.0,-0.04213446097978624
2000-01-24,93.27417822041951,-0.026228897264346074,100.0,-0.06725821779580488
2000-01-25,92.37733834985241,-0.009615092704947314,100.0,-0.07622661650147589
2000-01-26,90.15736330086816,-0.024031597885801226,100.0,-0.09842636699131846
2000-01-27,91.88337159656012,0.01914439633657028,100.0,-0.08116628403439874
2000-01-28,90.8989152628807,-0.010714194707633795,100.0,-0.09101084737119292
2000-01-31,93.06610919396056,0.02384180190503149,100.0,-0.06933890806039444
2000-02-01,93.88483267627791,0.00879722478363254,100.0,-0.06115167323722093
2000-02-02,95.01362369094215,0.012023145618807352,100.0,-0.049863763090578495
2000-02-03,97.13112684062783,0.02228631081973509,100.0,-0.02868873159372176
2000-02-04,97.45336025942814,0.0033175093225163987,100.0,-0.025466397405718655
2000-02-07,98.98967738979763,0.015764639888041998,100.0,-0.010103226102023632
2000-02-08,100.69759816812662,0.01725352403769942,100.69759816812662,0.0
2000-02-09,99.10680882060157,-0.0157976890855831,100.69759816812662,-0.0157976890855831
2000-02-10,100.28866032073054,0.01192502830222586,100.69759816812662,-0.004061048672812428
2000-02-11,98.30608485608842,-0.01976869028164996,100.69759816812662,-0.023749457341030955
2000-02-14,97.28094158756156,-0.010428075434268158,100.69759816812662,-0.033929871642623954
2000-02-15,96.504833784693,-0.007978004634854208,100.69759816812662,-0.04163718360425328
2000-02-16,96.1631778794817,-0.003540298364469119,100.69759816812662,-0.045030073915707236
2000-02-17,98.03039777429765,0.01941720246762313,100.69759816812662,-0.02648722951043736
2000-02-18,96.15796572414257,-0.019100524864400947,100.69759816812662,-0.045081834388985054
2000-02-21,94.23433665517565,-0.02000488523733346,100.69759816812662,-0.06418486270307844
2000-02-22,94.8466479256183,0.006497751161375742,100.69759816812662,-0.05810416880787428
2000-02-23,98.91172851352252,0.04285950718144704,100.69759816812662,-0.017734977666720275
2000-02-24,99.99522769853152,0.010954203321407618,100.69759816812662,-0.006975046896574466
2000-02-25,98.2774585355528,-0.01717851144014093,100.69759816812662,-0.0240337374138071
2000-02-28,96.46346899595295,-0.018457839331932013,100.69759816812662,-0.04204796588200932
2000-02-29,98.07095610447614,0.016664205893224038,100.69759816812662,-0.026084455949634378
2000-03-01,98.35456387393025,0.0028918630012333413,100.69759816812662,-0.023268025621469124
2000-03-02,98.83729053123275,0.004908024989275228,100.69759816812662,-0.018474200683395225
2000-03-03,101.54455016401084,0.027391074949819627,101.54455016401084,0.0
2000-03-06,102.33062267459027,0.007741159021432464,102.33062267459027,0.0
2000-03-07,101.48241003321678,-0.00828894244170486,102.33062267459027,-0.00828894244170486
2000-03-08,102.19750514797285,0.007046493225003392,102.33062267459027,-0.0013008571934594038
2000-03-09,103.17633313460357,0.009577807063034127,103.17633313460357,0.0
2000-03-10,103.02301040409345,-0.0014860261636754357,103.17633313460357,-0.0014860261636754357
2000-03-13,100.62185629583365,-0.02330696898529372,103.17633313460357,-0.02475836038326107
2000-03-14,98.40099706374673,-0.022071340301628717,103.17633313460357,-0.046283250487560434
2000-03-15,96.09354942687476,-0.02344943349890194,103.17633313460357,-0.0686473679820413
2000-03-16,98.8532819991795,0.02871922817675543,103.17633313460357,-0.041899639230095764
2000-03-17,100.18724892073381,0.013494412067829753,103.17633313460357,-0.02897063815953027
2000-03-20,98.67165466203123,-0.015127616288792223,103.17633313460357,-0.04365999775060381
2000-03-21,100.84882016289926,0.022064751101268376,103.17633313460357,-0.02255859363278434
2000-03-22,102.25156185873075,0.013909351577595874,103.17633313460357,-0.00896301746512318
2000-03-23,102.5802193525351,0.003214205121467195,103.17633313460357,-0.0057776213202962445
2000-03-24,103.86673366921234,0.012541543825870693,103.86673366921234,0.0
2000-03-27,104.05223569550176,0.0017859618738007565,104.05223569550176,0.0
2000-03-28,102.85625935059461,-0.011493999498550456,104.05223569550176,-0.011493999498550456
2000-03-29,101.0862763871172,-0.01720831551383062,104.05223569550176,-0.028504522642494146
2000-03-30,99.21996233259355,-0.018462585834861045,104.05223569550176,-0.04644084128138648
2000-03-31,99.28867854948652,0.0006925644323731994,104.05223569550176,-0.04578044012389415
2000-04-03,96.22551524583572,-0.030851083410522784,104.05223569550176,-0.07521914735758428
2000-04-04,95.34601649956127,-0.009139974403124973,104.05223569550176,-0.08367162067923606
2000-04-05,94.5840626431496,-0.00799145978390392,104.05223569550176,-0.09099442207142783
2000-04-06,94.78380279347645,0.0021117738522233864,104.05223569550176,-0.08907480786043298
2000-04-07,97.42500001746842,0.027865491214219773,104.05223569550176,-0.06369142992205634
2000-04-10,95.55486014461073,-0.019195687683062568,104.05223569550176,-0.08166451680824749
2000-04-11,94.02178335374327,-0.01604394364187578,104.05223569550176,-0.09639823954491078
2000-04-12,90.83205224641108,-0.03392544784362672,104.05223569550176,-0.12705333394063922
2000-04-13,88.96403354817387,-0.02056563351854701,104.05223569550176,-0.14500603515605348
2000-04-14,84.60395750814872,-0.049009423990023726,104.05223569550176,-0.18690879688800188
2000-04-17,86.24225900598314,0.019364360085361465,104.05223569550176,-0.1711638060487013
2000-04-18,88.3294619748369,0.024201626823213918,104.05223569550176,-0.15110462178511908
2000-04-19,87.25976785799939,-0.012110275472324794,104.05223569550176,-0.16138497866248458
2000-04-20,86.54276805197162,-0.008216842923471579,104.05223569550176,-0.1682757465660787
