strategy,start,end,years,final_nav,total_return,cagr,daily_mdd,monthly_mdd,avg_stock_weight,max_stock_weight
KOSPI200 continuous,2000-01-03,2026-06-17,26.45311430527036,1593.1155492130727,14.931155492130726,0.11032017706901942,-0.27654497718279436,-0.2190524821374188,0.5985443739296867,1.0
Nasdaq100 continuous,2000-01-03,2026-06-17,26.45311430527036,1331.372127007664,12.31372127007664,0.1028122754004801,-0.3738877776931885,-0.321509106103397,0.7087740505691549,1.0
KOSPI200/Nasdaq100 50-50 continuous,2000-01-03,2026-06-17,26.45311430527036,1625.5391052238651,15.25539105223865,0.11116617202306056,-0.23852705818770614,-0.19963861855280762,0.6536592122494207,1.0
KOSPI200 4-point,2000-01-03,2026-06-17,26.45311430527036,1873.0124817741337,17.730124817741338,0.11713462928234764,-0.26525433689874034,-0.21252043009142785,0.6031656089453007,1.0
Nasdaq100 4-point,2000-01-03,2026-06-17,26.45311430527036,1680.4047778615047,15.804047778615047,0.11256141493891025,-0.35156673367444813,-0.26294095279092283,0.7176639468117256,1.0
KOSPI200/Nasdaq100 50-50 4-point,2000-01-03,2026-06-17,26.45311430527036,1994.9024518316432,18.94902451831643,0.1198003289814289,-0.23509512376781505,-0.1841009210493564,0.6604147778785131,1.0
