,S&P 500,러셀 3000,니케이 225,항셍,홍콩 H,대만 가권,상해종합,영국 FTSE 100,프랑스 CAC 40,독일 DAX,KOSPI,인도 SENSEX,에너지,화학,금속및광물,기타 소재,건설,기타자본재,상업서비스,운송,자동차및부품,내구소비재및의류,소비자서비스,미디어,유통,음식료및담배,생활용품,의료,은행,보험,증권,기타금융,소프트웨어,하드웨어,반도체,디스플레이,통신서비스,유틸리티,블루칩30,모멘텀,경기방어주,고배당주,베타플러스,Low Vol,배당성장,Big Vol 지수,FnGuide 컨트래리안,FnGuide 퀄리티밸류 지수,대형가치,대형성장,대형순수가치,대형순수성장,중형가치,중형성장,중형순수가치,중형순수성장,소형가치,소형성장,소형순수가치,소형순수성장,중대형가치,중대형성장,중대형순수가치,중대형순수성장,중소형가치,중소형순수가치,중소형성장,중소형순수성장,채권,20년채권,채권인버스,현금
2002-11-01,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.003205128205128205,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.005208333333333333,0.005208333333333333,0.004166666666666667,0.0,0.0,0.006127450980392157,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,0.0,0.006944444444444444,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,0.004901960784313725,0.004901960784313725,0.0,0.0,0.004166666666666667,0.0,0.0033333333333333335,0.0,0.004166666666666667,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.25,0.0,0.6449397130647132
2002-12-01,0.0,0.0,0.0,0.008333333333333333,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.012254901960784314,0.012254901960784314,0.0,0.006944444444444444,0.006944444444444444,0.0,0.0,0.0,0.008333333333333333,0.006944444444444444,0.007675438596491228,0.0,0.0,0.0,0.006127450980392157,0.0,0.0,0.0,0.0,0.006944444444444444,0.0,0.0,0.0,0.0,0.009963768115942028,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0061403508771929825,0.007575757575757575,0.0,0.0,0.007142857142857143,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0.0,0.0061403508771929825,0.0,0.0,0.0,0.007575757575757575,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.25,0.0,0.5780016389400224
2003-01-01,0.0,0.003205128205128205,0.0,0.003205128205128205,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.018939393939393936,0.0,0.005208333333333333,0.004166666666666667,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.0,0.002976190476190476,0.0,0.0,0.0,0.001282051282051282,0.001282051282051282,0.0,0.001282051282051282,0.0023809523809523807,0.0,0.0,0.001282051282051282,0.0,0.0,0.0,0.0,0.0023809523809523807,0.0,0.0023809523809523807,0.0,0.0,0.0,0.001282051282051282,0.0,0.0,0.0,0.0023809523809523807,0.0,0.0,0.001282051282051282,0.0,0.0,0.0,0.25,0.0,0.6730096292596293
2003-02-01,0.0,0.0,0.0,0.0,0.019927536231884056,0.013888888888888888,0.008333333333333333,0.0,0.0,0.0,0.0,0.015350877192982455,0.0,0.005208333333333333,0.004166666666666667,0.0,0.0,0.0,0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6732037294322764
2003-03-01,0.0,0.0,0.0,0.003205128205128205,0.020833333333333332,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.002976190476190476,0.0016025641025641025,0.0,0.002976190476190476,0.0,0.0016025641025641025,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016025641025641025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016025641025641025,0.0,0.0,0.0,0.001282051282051282,0.0,0.0,0.001282051282051282,0.0,0.0033333333333333335,0.001282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.001282051282051282,0.0,0.0,0.0,0.001282051282051282,0.0,0.0,0.0,0.001282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6713232600732599
2003-04-01,0.005952380952380952,0.0,0.0,0.0,0.019927536231884056,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0016025641025641025,0.0,0.0,0.005208333333333333,0.0,0.002976190476190476,0.0,0.0,0.0,0.004166666666666667,0.0016025641025641025,0.0,0.002976190476190476,0.0,0.002976190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6796947165153686
2003-05-01,0.016666666666666666,0.016666666666666666,0.0,0.0,0.020833333333333332,0.0,0.015350877192982455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.009963768115942028,0.007675438596491228,0.009963768115942028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.007675438596491228,0.0,0.0,0.006944444444444444,0.0,0.008928571428571428,0.0,0.0,0.004166666666666667,0.0061403508771929825,0.0,0.004166666666666667,0.007142857142857143,0.0,0.006666666666666667,0.004901960784313725,0.0,0.0,0.005555555555555555,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0061403508771929825,0.0,0.0,0.0,0.005555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5567305305035821
2003-06-01,0.018939393939393936,0.018939393939393936,0.0,0.0,0.020833333333333332,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.009963768115942028,0.0,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.009963768115942028,0.0,0.009963768115942028,0.0,0.009963768115942028,0.0,0.0,0.0,0.0,0.009963768115942028,0.0,0.0,0.009469696969696968,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.007971014492753623,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.006666666666666667,0.0,0.0,0.007971014492753623,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.25,0.0,0.5168906455862978
2003-07-01,0.019927536231884056,0.019927536231884056,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.010416666666666666,0.0,0.010416666666666666,0.009963768115942028,0.0,0.0,0.009469696969696968,0.0,0.0,0.0,0.009963768115942028,0.0,0.0,0.0,0.009963768115942028,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.008333333333333333,0.008333333333333333,0.0,0.0,0.008333333333333333,0.007575757575757575,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.2391304347826087,0.0,0.5181253529079616
2003-08-01,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.018939393939393936,0.0,0.020833333333333332,0.0,0.0,0.010416666666666666,0.0,0.009469696969696968,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.009469696969696968,0.0,0.010416666666666666,0.009963768115942028,0.0,0.0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.007971014492753623,0.0,0.008333333333333333,0.0,0.008333333333333333,0.0,0.0,0.007971014492753623,0.0,0.0,0.0,0.007575757575757575,0.0,0.007575757575757575,0.0,0.0,0.0,0.0,0.0,0.007971014492753623,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.2,0.0,0.5580333615659703
2003-09-01,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.0,0.010416666666666666,0.0,0.0,0.0,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.010416666666666666,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,0.0,0.008333333333333333,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,0.5227272727272727
2003-10-01,0.0,0.0,0.0,0.020833333333333332,0.019927536231884056,0.019927536231884056,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.009963768115942028,0.009469696969696968,0.0,0.009963768115942028,0.009469696969696968,0.0,0.0,0.009963768115942028,0.009469696969696968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009469696969696968,0.008928571428571428,0.0,0.0,0.0,0.007575757575757575,0.0,0.007971014492753623,0.0,0.0,0.007575757575757575,0.0,0.007142857142857143,0.007971014492753623,0.0,0.0,0.007971014492753623,0.0,0.0,0.0,0.007971014492753623,0.0,0.0,0.0,0.007971014492753623,0.0,0.0,0.0,0.007971014492753623,0.0,0.0,0.007971014492753623,0.0,0.0,0.0,0.2391304347826087,0.0,0.5245576886881234
2003-11-01,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.010416666666666666,0.0,0.0,0.009963768115942028,0.0,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.007971014492753623,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.21428571428571427,0.0,0.53652950310559
2003-12-01,0.0,0.0,0.0,0.020833333333333332,0.019927536231884056,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.010416666666666666,0.0,0.0,0.010416666666666666,0.0,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009963768115942028,0.0,0.0,0.010416666666666666,0.008333333333333333,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.18421052631578946,0.5671481693363845
2004-01-01,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.0,0.0,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.010416666666666666,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.5833333333333333
2004-02-01,0.0,0.0,0.0,0.020833333333333332,0.019927536231884056,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.019927536231884056,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.010416666666666666,0.0,0.009963768115942028,0.009963768115942028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.008333333333333333,0.007971014492753623,0.0,0.0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.007971014492753623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18421052631578946,0.5692315026697177
