strategy,start,end,years,final_nav,total_return,cagr,mdd,vol,sharpe,avg_risky_weight,avg_cash_weight
MPAA base,2001-02-01,2026-06-01,25.32785763175907,539.3430815800343,4.393430815800343,0.06879806288780554,-0.11071998675212236,0.05410909403705024,1.2555028887825486,0.4696589111297115,0.49099682657520655
MPAA 6M equity overlay,2001-09-01,2026-06-01,24.747433264887064,482.1875518675907,3.738330235941211,0.06488037708940464,-0.07358886952063293,0.04515204866154867,1.4156227169845368,0.7634228187919463,0.23657718120805368
KOSPI buy-and-hold,2001-09-01,2026-06-01,24.747433264887064,1847.9486812823154,17.479486812823154,0.12508335179129393,-0.48517810010412377,0.22422476447280928,0.6359392759388945,,
